checkpoint_name	method	expanded_spearman	expanded_negative_top1	expanded_top1_real_delta	expanded_top1_regret	transfer_spearman	transfer_negative_top1	transfer_top1_real_delta	transfer_top1_regret	transfer_sign_accuracy	rank_changed_groups_expanded	rank_changed_groups_transfer	verdict	reasons
Q_v0_rank1p0	group_rank_pct	0.5757288671733761	0.13513513513513514	0.004589999999999995	0.022501081081081096	0.07674800919772376	0.16666666666666666	0.005478333333333345	0.01771166666666668	0.6493055555555555	1	1	REJECT	transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
Q_v0_rank1p0	circuit_zscore	0.576224348635029	0.13513513513513514	0.004589999999999995	0.022501081081081096	0.07662172859541795	0.16666666666666666	0.005478333333333345	0.01771166666666668	0.6354166666666666	0	0	REJECT	transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
Q_v0_rank1p0	global_zscore	0.576224348635029	0.13513513513513514	0.004589999999999995	0.022501081081081096	0.07662172859541795	0.16666666666666666	0.005478333333333345	0.01771166666666668	0.6354166666666666	0	0	REJECT	transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
Q_v0_rank1p0	platt	0.576224348635029	0.13513513513513514	0.004589999999999995	0.022501081081081096	0.07662172859541795	0.16666666666666666	0.005478333333333345	0.01771166666666668	0.6597222222222222	0	0	REJECT	transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
Q_v0_rank2p0	raw	0.5388128530014101	0.35135135135135137	0.0066640540540540616	0.020427027027027027	0.18892237700208955	0.5	0.00372166666666666	0.019468333333333365	0.4444444444444444	0	0	REJECT	expanded_negative_top1_worse,transfer_negative_top1_worse,transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
Q_v0_rank2p0	group_center	0.5388128530014101	0.35135135135135137	0.0066640540540540616	0.020427027027027027	0.18892237700208955	0.5	0.00372166666666666	0.019468333333333365	0.5902777777777778	0	0	REJECT	expanded_negative_top1_worse,transfer_negative_top1_worse,transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
Q_v0_rank2p0	group_zscore	0.5388128530014101	0.35135135135135137	0.0066640540540540616	0.020427027027027027	0.18892237700208955	0.5	0.00372166666666666	0.019468333333333365	0.5902777777777778	0	0	REJECT	expanded_negative_top1_worse,transfer_negative_top1_worse,transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
Q_v0_rank2p0	group_rank_pct	0.538845249063321	0.35135135135135137	0.0066640540540540616	0.020427027027027027	0.18904391485901903	0.5	0.00372166666666666	0.019468333333333365	0.6493055555555555	0	0	REJECT	expanded_negative_top1_worse,transfer_negative_top1_worse,transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
Q_v0_rank2p0	circuit_zscore	0.5388128530014101	0.35135135135135137	0.0066640540540540616	0.020427027027027027	0.18892237700208955	0.5	0.00372166666666666	0.019468333333333365	0.5381944444444444	0	0	REJECT	expanded_negative_top1_worse,transfer_negative_top1_worse,transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
Q_v0_rank2p0	global_zscore	0.5388128530014101	0.35135135135135137	0.0066640540540540616	0.020427027027027027	0.18892237700208955	0.5	0.00372166666666666	0.019468333333333365	0.4826388888888889	0	0	REJECT	expanded_negative_top1_worse,transfer_negative_top1_worse,transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
Q_v0_rank2p0	platt	0.5388128530014101	0.35135135135135137	0.0066640540540540616	0.020427027027027027	0.18892237700208955	0.5	0.00372166666666666	0.019468333333333365	0.6597222222222222	0	0	REJECT	expanded_negative_top1_worse,transfer_negative_top1_worse,transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
Q_v0_value1_rank1	raw	0.49562744441549067	0.32432432432432434	0.003676756756756752	0.02341432432432434	0.3002244672078064	0.16666666666666666	0.010916666666666686	0.01227333333333334	0.6006944444444444	0	0	REJECT	expanded_spearman_below_0p50,expanded_negative_top1_worse
Q_v0_value1_rank1	group_center	0.49562744441549067	0.32432432432432434	0.003676756756756752	0.02341432432432434	0.3002244672078064	0.16666666666666666	0.010916666666666686	0.01227333333333334	0.579861111111111	0	0	REJECT	expanded_spearman_below_0p50,expanded_negative_top1_worse
Q_v0_value1_rank1	group_zscore	0.49562744441549067	0.32432432432432434	0.003676756756756752	0.02341432432432434	0.3002244672078064	0.16666666666666666	0.010916666666666686	0.01227333333333334	0.579861111111111	0	0	REJECT	expanded_spearman_below_0p50,expanded_negative_top1_worse
Q_v0_value1_rank1	group_rank_pct	0.49514616251905663	0.32432432432432434	0.003676756756756752	0.02341432432432434	0.3002087688071019	0.16666666666666666	0.010916666666666686	0.01227333333333334	0.6493055555555555	0	1	REJECT	expanded_spearman_below_0p50,expanded_negative_top1_worse
Q_v0_value1_rank1	circuit_zscore	0.49562744441549067	0.32432432432432434	0.003676756756756752	0.02341432432432434	0.3002244672078064	0.16666666666666666	0.010916666666666686	0.01227333333333334	0.5902777777777778	0	0	REJECT	expanded_spearman_below_0p50,expanded_negative_top1_worse
Q_v0_value1_rank1	global_zscore	0.49562744441549067	0.32432432432432434	0.003676756756756752	0.02341432432432434	0.3002244672078064	0.16666666666666666	0.010916666666666686	0.01227333333333334	0.8333333333333334	0	0	REJECT	expanded_spearman_below_0p50,expanded_negative_top1_worse
Q_v0_value1_rank1	platt	0.49562744441549067	0.32432432432432434	0.003676756756756752	0.02341432432432434	0.3002244672078064	0.16666666666666666	0.010916666666666686	0.01227333333333334	0.6597222222222222	0	0	REJECT	expanded_spearman_below_0p50,expanded_negative_top1_worse
