checkpoint_name	method	expanded_spearman	expanded_negative_top1	expanded_top1_real_delta	expanded_top1_regret	transfer_spearman	transfer_negative_top1	transfer_top1_real_delta	transfer_top1_regret	transfer_sign_accuracy	rank_changed_groups_expanded	rank_changed_groups_transfer	verdict	reasons
Q_v0_rank0p5	raw	0.5489230065129774	0.2702702702702703	0.0069105405405405365	0.020180540540540554	0.1730581235350661	0.16666666666666666	0.00549333333333335	0.017696666666666677	0.4861111111111111	0	0	REJECT	expanded_negative_top1_worse,transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
Q_v0_rank0p5	group_center	0.5489230065129774	0.2702702702702703	0.0069105405405405365	0.020180540540540554	0.1730581235350661	0.16666666666666666	0.00549333333333335	0.017696666666666677	0.71875	0	0	REJECT	expanded_negative_top1_worse,transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
Q_v0_rank0p5	group_zscore	0.5489230065129774	0.2702702702702703	0.0069105405405405365	0.020180540540540554	0.1730581235350661	0.16666666666666666	0.00549333333333335	0.017696666666666677	0.71875	0	0	REJECT	expanded_negative_top1_worse,transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
Q_v0_rank0p5	group_rank_pct	0.5483896071003571	0.2702702702702703	0.0069105405405405365	0.020180540540540554	0.17279507274222441	0.16666666666666666	0.00549333333333335	0.017696666666666677	0.6493055555555555	0	1	REJECT	expanded_negative_top1_worse,transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
Q_v0_rank0p5	circuit_zscore	0.5489230065129774	0.2702702702702703	0.0069105405405405365	0.020180540540540554	0.1730581235350661	0.16666666666666666	0.00549333333333335	0.017696666666666677	0.6979166666666666	0	0	REJECT	expanded_negative_top1_worse,transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
Q_v0_rank0p5	global_zscore	0.5489230065129774	0.2702702702702703	0.0069105405405405365	0.020180540540540554	0.1730581235350661	0.16666666666666666	0.00549333333333335	0.017696666666666677	0.6666666666666666	0	0	REJECT	expanded_negative_top1_worse,transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
Q_v0_rank0p5	platt	0.5489230065129774	0.2702702702702703	0.0069105405405405365	0.020180540540540554	0.1730581235350661	0.16666666666666666	0.00549333333333335	0.017696666666666677	0.6597222222222222	0	0	REJECT	expanded_negative_top1_worse,transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
Q_v0_rank1p0	raw	0.576224348635029	0.13513513513513514	0.004589999999999995	0.022501081081081096	0.07662172859541795	0.16666666666666666	0.005478333333333345	0.01771166666666668	0.3958333333333333	0	0	REJECT	transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
Q_v0_rank1p0	group_center	0.576224348635029	0.13513513513513514	0.004589999999999995	0.022501081081081096	0.07662172859541795	0.16666666666666666	0.005478333333333345	0.01771166666666668	0.6458333333333334	0	0	REJECT	transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
Q_v0_rank1p0	group_zscore	0.576224348635029	0.13513513513513514	0.004589999999999995	0.022501081081081096	0.07662172859541795	0.16666666666666666	0.005478333333333345	0.01771166666666668	0.6458333333333334	0	0	REJECT	transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
