split	checkpoint_name	method	groups	mean_spearman	mean_kendall_tau	mean_pearson	mean_top1_real_delta_tc	mean_top1_regret	negative_top1_rate	mean_sign_accuracy	mean_calibration_slope	mean_calibration_intercept	rank_changed_groups	rank_changed_rate
expanded	Q_v0_rank0p5	circuit_zscore	37	0.5489230065129774	0.5243435360976312	0.5083415651044778	0.0069105405405405365	0.020180540540540554	0.2702702702702703	0.7612612612612613	0.010297426845906968	-0.00873319979373832	0	0.0
expanded	Q_v0_rank0p5	global_zscore	37	0.5489230065129774	0.5243435360976312	0.5083415651044778	0.0069105405405405365	0.020180540540540554	0.2702702702702703	0.7687687687687688	0.01036909438172837	-0.008612593809576088	0	0.0
expanded	Q_v0_rank0p5	group_center	37	0.5489230065129774	0.5243435360976312	0.5083415651044778	0.0069105405405405365	0.020180540540540554	0.2702702702702703	0.7597597597597597	0.0074717038274101175	-0.008781486486486485	0	0.0
expanded	Q_v0_rank0p5	group_rank_pct	37	0.5483896071003571	0.5238886257417308	0.47937665251118	0.0069105405405405365	0.020180540540540554	0.2702702702702703	0.4549549549549549	0.03068915599810334	-0.024126064485538154	0	0.0
expanded	Q_v0_rank0p5	group_zscore	37	0.5489230065129774	0.5243435360976312	0.5083415651044778	0.0069105405405405365	0.020180540540540554	0.2702702702702703	0.7597597597597597	0.009472365995278618	-0.008781486486486485	0	0.0
expanded	Q_v0_rank0p5	platt	37	0.5489230065129774	0.5243435360976312	0.518807829933277	0.0069105405405405365	0.020180540540540554	0.2702702702702703	0.460960960960961	0.04677032415256006	-0.02961770890559211	0	0.0
expanded	Q_v0_rank0p5	raw	37	0.5489230065129774	0.5243435360976312	0.5083415651044778	0.0069105405405405365	0.020180540540540554	0.2702702702702703	0.7762762762762763	0.0074717038274101175	-0.006209541282274969	0	0.0
expanded	Q_v0_rank1p0	circuit_zscore	37	0.576224348635029	0.5509763458952737	0.49943250841784126	0.004589999999999995	0.022501081081081096	0.13513513513513514	0.7507507507507508	0.009714666793930293	-0.008499289918366938	0	0.0
expanded	Q_v0_rank1p0	global_zscore	37	0.576224348635029	0.5509763458952737	0.49943250841784126	0.004589999999999995	0.022501081081081096	0.13513513513513514	0.7447447447447447	0.009762532266114848	-0.008333029252779454	0	0.0
expanded	Q_v0_rank1p0	group_center	37	0.576224348635029	0.5509763458952737	0.49943250841784126	0.004589999999999995	0.022501081081081096	0.13513513513513514	0.7567567567567568	0.007523969692559833	-0.008781486486486485	0	0.0
expanded	Q_v0_rank1p0	group_rank_pct	37	0.5757288671733761	0.5506407686597034	0.48752538881095925	0.004589999999999995	0.022501081081081096	0.13513513513513514	0.4549549549549549	0.03069049312470362	-0.024126733048838295	1	0.02702702702702703
expanded	Q_v0_rank1p0	group_zscore	37	0.576224348635029	0.5509763458952737	0.49943250841784126	0.004589999999999995	0.022501081081081096	0.13513513513513514	0.7567567567567568	0.009364432902440229	-0.008781486486486485	0	0.0
expanded	Q_v0_rank1p0	platt	37	0.576224348635029	0.5509763458952737	0.5104226216373026	0.004589999999999995	0.022501081081081096	0.13513513513513514	0.460960960960961	0.03818022070482635	-0.025498010223154812	0	0.0
expanded	Q_v0_rank1p0	raw	37	0.576224348635029	0.5509763458952737	0.49943250841784126	0.004589999999999995	0.022501081081081096	0.13513513513513514	0.7792792792792792	0.007523969692559833	-0.005448893735577681	0	0.0
expanded	Q_v0_rank2p0	circuit_zscore	37	0.5388128530014101	0.5077582621685596	0.4693594093542945	0.0066640540540540616	0.020427027027027027	0.35135135135135137	0.7477477477477478	0.010306232190163061	-0.008710094143251242	0	0.0
expanded	Q_v0_rank2p0	global_zscore	37	0.5388128530014101	0.5077582621685596	0.4693594093542945	0.0066640540540540616	0.020427027027027027	0.35135135135135137	0.6966966966966968	0.010187777508403998	-0.008597808383790066	0	0.0
expanded	Q_v0_rank2p0	group_center	37	0.5388128530014101	0.5077582621685596	0.4693594093542946	0.0066640540540540616	0.020427027027027027	0.35135135135135137	0.7537537537537538	0.007139573862386631	-0.008781486486486485	0	0.0
expanded	Q_v0_rank2p0	group_rank_pct	37	0.538845249063321	0.5078237029119663	0.4660062880471105	0.0066640540540540616	0.020427027027027027	0.35135135135135137	0.45345345345345345	0.03210123755334279	-0.02483210526315788	0	0.0
expanded	Q_v0_rank2p0	group_zscore	37	0.5388128530014101	0.5077582621685596	0.4693594093542946	0.0066640540540540616	0.020427027027027027	0.35135135135135137	0.7537537537537538	0.009580562848066495	-0.008781486486486485	0	0.0
expanded	Q_v0_rank2p0	platt	37	0.5388128530014101	0.5077582621685596	0.4770575978370025	0.0066640540540540616	0.020427027027027027	0.35135135135135137	0.460960960960961	0.04754613579456938	-0.030150984984672984	0	0.0
expanded	Q_v0_rank2p0	raw	37	0.5388128530014101	0.5077582621685596	0.4693594093542946	0.0066640540540540616	0.020427027027027027	0.35135135135135137	0.7177177177177176	0.007139573862386629	-0.0072707483149301285	0	0.0
expanded	Q_v0_value1_rank1	circuit_zscore	37	0.49562744441549067	0.4653186970004065	0.47103512221725075	0.003676756756756752	0.02341432432432434	0.32432432432432434	0.7447447447447448	0.010156161356130051	-0.0085845737171538	0	0.0
expanded	Q_v0_value1_rank1	global_zscore	37	0.49562744441549067	0.4653186970004065	0.47103512221725075	0.003676756756756752	0.02341432432432434	0.32432432432432434	0.7282282282282282	0.011269740059242011	-0.007829058903074587	0	0.0
expanded	Q_v0_value1_rank1	group_center	37	0.49562744441549067	0.4653186970004065	0.47103512221725075	0.003676756756756752	0.02341432432432434	0.32432432432432434	0.7507507507507508	0.00856264774102379	-0.008781486486486485	0	0.0
expanded	Q_v0_value1_rank1	group_rank_pct	37	0.49514616251905663	0.4650477159148395	0.43505627274170094	0.003676756756756752	0.02341432432432434	0.32432432432432434	0.4564564564564565	0.030623579895685128	-0.02409327643432905	0	0.0
expanded	Q_v0_value1_rank1	group_zscore	37	0.49562744441549067	0.4653186970004065	0.47103512221725075	0.003676756756756752	0.02341432432432434	0.32432432432432434	0.7507507507507508	0.009148321374420555	-0.008781486486486485	0	0.0
expanded	Q_v0_value1_rank1	platt	37	0.49562744441549067	0.4653186970004065	0.4824347823292368	0.003676756756756752	0.02341432432432434	0.32432432432432434	0.460960960960961	0.049299964105854376	-0.02966291924845036	0	0.0
expanded	Q_v0_value1_rank1	raw	37	0.49562744441549067	0.4653186970004065	0.47103512221725075	0.003676756756756752	0.02341432432432434	0.32432432432432434	0.7882882882882883	0.00856264774102379	-0.004026437287645688	0	0.0
transfer	Q_v0_rank0p5	circuit_zscore	6	0.1730581235350661	0.15688451860910188	0.19498773980663145	0.00549333333333335	0.017696666666666677	0.16666666666666666	0.6979166666666666	0.0016131000933945169	0.0016598408980041674	0	0.0
transfer	Q_v0_rank0p5	global_zscore	6	0.1730581235350661	0.15688451860910188	0.19498773980663142	0.00549333333333335	0.017696666666666677	0.16666666666666666	0.6666666666666666	-0.0017367489428266262	0.0031966613801738242	0	0.0
transfer	Q_v0_rank0p5	group_center	6	0.1730581235350661	0.15688451860910188	0.19498773980663142	0.00549333333333335	0.017696666666666677	0.16666666666666666	0.71875	-0.0012514568047749986	0.0023624305555555625	0	0.0
transfer	Q_v0_rank0p5	group_rank_pct	6	0.17279507274222441	0.15636677782465463	0.19064990517907524	0.00549333333333335	0.017696666666666677	0.16666666666666666	0.6493055555555555	0.008616411564625864	-0.001945775226757369	1	0.16666666666666666
transfer	Q_v0_rank0p5	group_zscore	6	0.1730581235350661	0.15688451860910188	0.19498773980663142	0.00549333333333335	0.017696666666666677	0.16666666666666666	0.71875	0.0025822757566204293	0.0023624305555555625	0	0.0
