split	checkpoint_name	method	benchmark_id	state_id	candidate_strategy	candidate_rank	node	type	action_key	oracle_delta_tc	q_pred	q_calibrated
expanded	Q_v0_rank0p5	group_center	subckt_0008	initial	cached_hard_cone	10	__buf_split_13	control0	__buf_split_13::control0	-0.0031199999999999006	-0.7488498091697693	-0.7551724024944835
expanded	Q_v0_rank0p5	group_center	subckt_0008	initial	cached_hard_cone	11	__buf_split_13	control1	__buf_split_13::control1	-0.0031199999999999006	0.17250199615955353	0.16617940283483928
expanded	Q_v0_rank0p5	group_center	subckt_0008	initial	cached_hard_cone	12	__buf_split_13	observe	__buf_split_13::observe	0.003630000000000022	0.27007943391799927	0.263756840593285
expanded	Q_v0_rank0p5	group_center	subckt_0008	initial	cached_hard_cone	13	__buf_split_15	control0	__buf_split_15::control0	-0.0031199999999999006	-0.28634634613990784	-0.2926689394646221
expanded	Q_v0_rank0p5	group_center	subckt_0008	initial	cached_hard_cone	14	__buf_split_15	control1	__buf_split_15::control1	-0.0031199999999999006	0.15705415606498718	0.15073156274027294
expanded	Q_v0_rank0p5	group_center	subckt_0008	initial	cached_hard_cone	15	__buf_split_15	observe	__buf_split_15::observe	0.003630000000000022	0.304721474647522	0.29839888132280773
expanded	Q_v0_rank0p5	group_center	subckt_0008	initial	cached_hard_cone	16	__buf_split_16	control0	__buf_split_16::control0	-0.0031199999999999006	-0.638794481754303	-0.6451170750790172
expanded	Q_v0_rank0p5	group_center	subckt_0008	initial	cached_hard_cone	17	__buf_split_16	control1	__buf_split_16::control1	-0.0031199999999999006	0.5505163073539734	0.5441937140292592
expanded	Q_v0_rank0p5	group_center	subckt_0008	initial	cached_hard_cone	18	__buf_split_16	observe	__buf_split_16::observe	0.003630000000000022	0.34117987751960754	0.3348572841948933
expanded	Q_v0_rank0p5	group_zscore	subckt_0008	initial	cached_hard_cone	1	__buf_split_9	control0	__buf_split_9::control0	-0.0031199999999999006	-0.6970760226249695	-1.8469543146488279
expanded	Q_v0_rank0p5	group_zscore	subckt_0008	initial	cached_hard_cone	2	__buf_split_9	control1	__buf_split_9::control1	-0.0031199999999999006	0.10609574615955353	0.2619801218482995
expanded	Q_v0_rank0p5	group_zscore	subckt_0008	initial	cached_hard_cone	3	__buf_split_9	observe	__buf_split_9::observe	0.003630000000000022	0.2693873345851898	0.6907442634743095
expanded	Q_v0_rank0p5	group_zscore	subckt_0008	initial	cached_hard_cone	4	__buf_split_11	control0	__buf_split_11::control0	-0.0031199999999999006	-0.2996877133846283	-0.8035089115732081
expanded	Q_v0_rank0p5	group_zscore	subckt_0008	initial	cached_hard_cone	5	__buf_split_11	control1	__buf_split_11::control1	-0.0031199999999999006	0.13268470764160156	0.33179629153893336
expanded	Q_v0_rank0p5	group_zscore	subckt_0008	initial	cached_hard_cone	6	__buf_split_11	observe	__buf_split_11::observe	0.003630000000000022	0.25758254528045654	0.6597477473517115
expanded	Q_v0_rank0p5	group_zscore	subckt_0008	initial	cached_hard_cone	7	__buf_split_12	control0	__buf_split_12::control0	-0.0031199999999999006	-0.24244163930416107	-0.6531945931737124
expanded	Q_v0_rank0p5	group_zscore	subckt_0008	initial	cached_hard_cone	8	__buf_split_12	control1	__buf_split_12::control1	-0.0031199999999999006	0.16033297777175903	0.4043939490428877
expanded	Q_v0_rank0p5	group_zscore	subckt_0008	initial	cached_hard_cone	9	__buf_split_12	observe	__buf_split_12::observe	0.003630000000000022	0.30486613512039185	0.7839029962912417
expanded	Q_v0_rank0p5	group_zscore	subckt_0008	initial	cached_hard_cone	10	__buf_split_13	control0	__buf_split_13::control0	-0.0031199999999999006	-0.7488498091697693	-1.9828997320499133
expanded	Q_v0_rank0p5	group_zscore	subckt_0008	initial	cached_hard_cone	11	__buf_split_13	control1	__buf_split_13::control1	-0.0031199999999999006	0.17250199615955353	0.4363468424759133
expanded	Q_v0_rank0p5	group_zscore	subckt_0008	initial	cached_hard_cone	12	__buf_split_13	observe	__buf_split_13::observe	0.003630000000000022	0.27007943391799927	0.692561548609527
expanded	Q_v0_rank0p5	group_zscore	subckt_0008	initial	cached_hard_cone	13	__buf_split_15	control0	__buf_split_15::control0	-0.0031199999999999006	-0.28634634613990784	-0.7684777141309408
expanded	Q_v0_rank0p5	group_zscore	subckt_0008	initial	cached_hard_cone	14	__buf_split_15	control1	__buf_split_15::control1	-0.0031199999999999006	0.15705415606498718	0.3957845577802815
expanded	Q_v0_rank0p5	group_zscore	subckt_0008	initial	cached_hard_cone	15	__buf_split_15	observe	__buf_split_15::observe	0.003630000000000022	0.304721474647522	0.7835231529442863
expanded	Q_v0_rank0p5	group_zscore	subckt_0008	initial	cached_hard_cone	16	__buf_split_16	control0	__buf_split_16::control0	-0.0031199999999999006	-0.638794481754303	-1.6939211113774135
